Monocoque_Scan_ID,Ultrasonic_Probe_Freq_MHz,Acoustic_Attenuation_dB_mm,Resin_Void_Content_pct,Chassis_Torsional_Rigidity_kNm_deg,Composite_Quality
PAGANI-UTOPIA-2198,11.2,0.49,0.39,52.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2199,4.6,0.72,0.34,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2200,3.5,0.57,0.41,52.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2201,10.0,0.89,0.56,50.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2202,5.8,0.67,0.53,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2203,5.9,0.57,0.39,52.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2204,9.4,0.52,0.37,51.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2205,11.8,0.6,0.42,52.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2206,8.8,0.67,0.45,52.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2207,6.5,0.83,0.52,51.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2208,7.7,0.49,0.29,51.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2209,6.5,0.53,0.31,52.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2210,9.4,0.7,0.49,51.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2211,4.5,0.47,0.31,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2212,10.9,0.9,0.48,51.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2213,5.2,0.47,0.34,53.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2214,6.4,0.45,0.43,51.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2215,10.4,0.79,0.45,51.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2216,4.7,0.65,0.47,52.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2217,9.3,0.58,0.28,52.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2218,5.6,0.5,0.3,53.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2219,6.4,0.63,0.33,53.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2220,6.8,0.77,0.33,53.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2221,6.9,0.51,0.39,51.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2222,3.5,0.69,0.49,51.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2223,8.9,0.49,0.35,51.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2224,9.1,0.84,0.51,49.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2225,9.4,0.75,0.56,52.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2226,5.4,0.61,0.43,52.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2227,5.0,0.61,0.23,53.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2228,6.6,0.53,0.33,52.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2229,5.3,0.64,0.45,52.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2230,9.3,0.82,0.62,51.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2231,6.8,0.64,0.38,51.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2232,10.3,0.78,0.5,51.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2233,5.4,0.72,0.43,52.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2234,9.8,1.23,0.85,49.9,Composite Micro-Delamination Defect
PAGANI-UTOPIA-2235,11.6,0.52,0.07,54.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2236,8.8,1.08,0.84,50.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2237,9.3,0.45,0.43,51.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2238,10.6,0.54,0.39,53.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2239,8.4,0.45,0.35,53.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2240,4.8,0.5,0.31,53.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2241,8.2,0.56,0.51,50.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2242,4.5,0.64,0.39,53.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2243,10.9,0.61,0.36,51.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2244,8.5,0.54,0.31,53.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2245,4.2,0.84,0.75,50.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2246,10.4,0.48,0.31,52.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2247,10.3,0.54,0.46,52.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2248,11.9,0.46,0.25,53.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2249,11.5,0.47,0.19,53.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2250,10.7,0.62,0.48,52.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2251,9.6,0.57,0.33,53.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2252,6.4,0.76,0.53,50.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2253,12.0,0.7,0.42,51.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2254,9.0,0.79,0.4,54.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2255,9.7,0.68,0.42,50.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2256,9.9,0.81,0.36,52.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2257,4.5,0.82,0.62,50.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2258,8.8,0.66,0.4,51.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2259,8.8,0.59,0.37,51.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2260,11.9,0.65,0.48,51.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2261,10.8,0.71,0.37,52.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2262,9.5,0.73,0.54,52.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2263,5.3,0.95,0.53,51.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2264,8.0,0.49,0.36,52.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2265,8.2,0.83,0.54,51.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2266,10.6,0.58,0.39,51.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2267,9.9,0.57,0.34,52.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2268,11.2,0.75,0.64,51.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2269,9.2,0.51,0.4,51.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2270,6.2,0.77,0.53,50.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2271,11.7,0.46,0.24,53.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2272,5.2,0.68,0.45,51.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2273,7.4,0.62,0.41,51.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2274,7.2,0.46,0.23,52.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2275,11.8,0.45,0.25,53.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2276,6.8,0.71,0.52,48.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2277,11.0,0.86,0.57,52.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2278,6.3,0.47,0.37,51.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2279,11.8,0.68,0.39,52.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2280,4.6,0.53,0.3,53.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2281,11.5,1.35,0.95,50.1,Composite Micro-Delamination Defect
PAGANI-UTOPIA-2282,5.5,0.84,0.6,50.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2283,8.6,1.1,0.66,52.8,Composite Micro-Delamination Defect
PAGANI-UTOPIA-2284,10.4,0.81,0.46,51.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2285,6.0,0.51,0.32,53.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2286,11.6,0.52,0.46,52.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2287,8.8,0.54,0.32,51.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2288,11.9,0.64,0.38,51.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2289,11.7,0.93,0.39,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2290,4.8,0.46,0.4,52.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2291,5.5,0.64,0.45,52.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2292,4.3,0.61,0.27,53.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2293,3.8,0.51,0.32,52.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2294,5.9,0.62,0.43,51.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2295,6.4,0.62,0.41,51.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2296,5.5,0.49,0.32,53.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2297,9.3,0.48,0.35,52.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2298,7.9,0.53,0.28,52.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2299,9.7,0.79,0.57,52.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2300,6.3,0.48,0.29,54.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2301,9.4,0.64,0.34,52.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2302,4.5,0.56,0.43,52.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2303,7.6,0.94,0.83,49.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2304,8.9,0.94,0.51,51.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2305,11.4,0.63,0.54,52.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2306,7.9,0.78,0.54,50.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2307,9.1,0.85,0.45,52.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2308,6.6,0.46,0.3,52.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2309,8.2,0.69,0.62,50.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2310,4.6,1.0,0.56,51.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2311,4.6,0.88,0.64,50.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2312,5.9,0.6,0.37,52.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2313,8.6,0.48,0.3,52.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2314,4.5,0.55,0.42,53.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2315,10.4,0.49,0.5,51.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2316,9.6,0.52,0.34,52.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2317,5.4,0.75,0.64,53.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2318,12.0,0.76,0.47,50.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2319,11.7,0.58,0.35,52.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2320,4.6,0.58,0.37,52.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2321,7.5,0.57,0.47,51.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2322,3.9,0.7,0.41,50.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2323,10.2,0.5,0.42,51.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2324,10.3,0.83,0.66,50.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2325,5.7,0.66,0.4,52.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2326,6.0,0.69,0.4,51.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2327,10.9,0.62,0.4,52.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2328,3.6,0.68,0.55,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2329,10.5,0.68,0.62,51.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2330,8.6,0.5,0.32,51.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2331,10.4,1.26,0.77,50.2,Composite Micro-Delamination Defect
PAGANI-UTOPIA-2332,10.6,0.46,0.21,53.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2333,4.3,0.63,0.39,51.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2334,10.9,0.87,0.57,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2335,7.7,0.51,0.19,52.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2336,4.1,0.61,0.42,51.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2337,11.1,0.55,0.39,51.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2338,5.6,1.03,0.7,51.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2339,7.2,1.05,0.64,52.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2340,7.3,0.7,0.37,51.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2341,10.6,0.61,0.34,51.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2342,10.4,1.22,1.01,50.1,Composite Micro-Delamination Defect
PAGANI-UTOPIA-2343,4.0,0.49,0.32,52.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2344,10.2,0.64,0.48,51.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2345,4.8,0.66,0.52,52.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2346,8.9,0.6,0.28,53.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2347,3.7,0.65,0.29,52.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2348,3.8,0.46,0.3,52.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2349,7.0,0.51,0.37,51.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2350,9.1,0.57,0.24,52.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2351,6.9,0.52,0.33,52.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2352,11.1,0.67,0.57,52.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2353,11.7,0.56,0.37,52.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2354,11.7,0.45,0.34,52.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2355,10.7,0.6,0.46,53.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2356,9.9,0.54,0.23,54.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2357,10.6,0.5,0.35,52.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2358,10.9,0.54,0.34,53.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2359,5.1,0.89,0.68,51.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2360,9.4,1.24,0.77,49.6,Composite Micro-Delamination Defect
PAGANI-UTOPIA-2361,4.4,0.5,0.26,53.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2362,6.1,0.59,0.38,52.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2363,9.5,1.42,1.04,49.9,Composite Micro-Delamination Defect
PAGANI-UTOPIA-2364,9.5,0.76,0.6,53.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2365,6.6,0.77,0.47,51.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2366,8.6,0.6,0.39,51.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2367,10.0,0.46,0.47,51.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2368,10.6,0.68,0.43,52.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2369,7.9,0.58,0.24,53.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2370,5.2,0.47,0.36,52.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2371,4.4,0.59,0.53,50.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2372,7.4,0.58,0.38,52.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2373,7.1,0.5,0.23,52.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2374,6.5,0.84,0.61,52.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2375,8.1,0.94,0.51,52.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2376,8.8,0.68,0.32,52.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2377,11.7,1.07,0.58,51.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2378,11.5,1.0,0.71,50.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2379,11.1,0.54,0.37,51.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2380,10.1,0.54,0.41,51.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2381,5.9,0.63,0.32,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2382,5.4,0.6,0.42,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2383,8.8,0.47,0.29,54.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2384,4.4,0.81,0.47,52.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2385,9.3,0.52,0.3,51.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2386,8.4,0.46,0.31,52.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2387,10.0,0.78,0.54,52.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2388,8.1,0.5,0.32,52.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2389,10.7,1.0,0.6,52.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2390,3.5,0.68,0.46,52.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2391,10.3,0.47,0.33,52.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2392,10.5,0.64,0.34,54.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2393,6.4,0.62,0.39,51.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2394,8.7,0.48,0.35,52.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2395,6.6,1.01,0.61,50.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2396,7.9,0.45,0.36,52.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2397,4.4,0.54,0.4,52.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2398,11.5,0.48,0.28,52.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2399,7.0,0.51,0.29,52.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2400,10.6,0.91,0.65,51.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2401,4.2,0.5,0.22,53.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2402,8.1,0.96,0.59,51.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2403,4.7,0.52,0.43,51.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2404,7.5,0.49,0.34,51.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2405,5.5,0.64,0.57,51.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2406,4.7,0.74,0.62,51.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2407,8.7,1.11,0.6,53.0,Composite Micro-Delamination Defect
PAGANI-UTOPIA-2408,9.5,1.07,0.63,51.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2409,10.3,0.82,0.71,50.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2410,8.3,0.5,0.4,52.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2411,11.9,0.63,0.44,51.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2412,9.5,0.51,0.26,52.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2413,11.6,0.47,0.25,53.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2414,4.8,1.32,0.77,50.0,Composite Micro-Delamination Defect
PAGANI-UTOPIA-2415,10.6,0.65,0.5,51.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2416,9.7,0.51,0.33,50.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2417,8.6,0.8,0.51,52.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2418,11.1,0.46,0.28,54.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2419,11.9,0.6,0.36,52.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2420,10.1,0.46,0.23,52.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2421,5.8,0.93,0.58,50.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2422,6.7,0.45,0.31,53.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2423,4.9,1.09,0.72,51.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2424,5.5,0.48,0.4,52.8,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2425,5.2,0.68,0.49,52.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2426,6.9,0.8,0.48,51.1,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2427,6.2,0.52,0.25,52.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2428,3.6,1.83,1.17,48.3,Composite Micro-Delamination Defect
PAGANI-UTOPIA-2429,4.8,0.48,0.23,53.5,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2430,11.2,0.61,0.4,53.3,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2431,10.6,0.75,0.49,51.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2432,10.7,0.52,0.4,53.4,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2433,6.9,0.67,0.41,52.0,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2434,6.1,0.51,0.39,53.2,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2435,8.3,0.57,0.11,53.7,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2436,5.8,0.61,0.5,50.9,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2437,8.8,0.54,0.45,51.6,Perfect Carbo-Triax HP62 C-Scan Integrity
PAGANI-UTOPIA-2438,11.6,1.03,0.67,50.9,Perfect Carbo-Triax HP62 C-Scan Integrity
