Trip_ID,Hard_Braking_Count,Acceleration_Smoothness,Cornering_Force_G,Average_Speed_kmh,Cluster,Driver_Category
TRIP-10763,1,2.54,0.269,60.5,0,Eco-Friendly (Safe)
TRIP-10764,2,1.8,0.339,76.6,0,Eco-Friendly (Safe)
TRIP-10765,3,2.06,0.346,75.0,0,Eco-Friendly (Safe)
TRIP-10766,0,1.81,0.311,65.5,0,Eco-Friendly (Safe)
TRIP-10767,0,0.85,0.178,60.5,2,High-Risk (Aggressive)
TRIP-10768,0,1.25,0.154,56.1,2,High-Risk (Aggressive)
TRIP-10769,11,5.05,0.424,73.0,1,Standard Commuter
TRIP-10770,1,1.32,0.159,47.9,2,High-Risk (Aggressive)
TRIP-10771,8,3.91,0.429,91.3,1,Standard Commuter
TRIP-10772,4,1.87,0.291,68.3,0,Eco-Friendly (Safe)
TRIP-10773,10,5.65,0.716,93.6,1,Standard Commuter
TRIP-10774,2,3.21,0.304,77.0,0,Eco-Friendly (Safe)
TRIP-10775,1,3.49,0.289,48.8,0,Eco-Friendly (Safe)
TRIP-10776,3,3.97,0.577,94.8,1,Standard Commuter
TRIP-10777,3,2.9,0.287,89.3,0,Eco-Friendly (Safe)
TRIP-10778,4,3.19,0.313,50.1,0,Eco-Friendly (Safe)
TRIP-10779,1,0.74,0.231,50.7,2,High-Risk (Aggressive)
TRIP-10780,1,1.79,0.311,74.0,0,Eco-Friendly (Safe)
TRIP-10781,4,2.03,0.4,84.2,0,Eco-Friendly (Safe)
TRIP-10782,2,2.78,0.288,64.8,0,Eco-Friendly (Safe)
TRIP-10783,3,2.65,0.319,82.9,0,Eco-Friendly (Safe)
TRIP-10784,1,1.43,0.178,65.6,2,High-Risk (Aggressive)
TRIP-10785,3,2.1,0.344,70.5,0,Eco-Friendly (Safe)
TRIP-10786,1,2.59,0.244,40.5,2,High-Risk (Aggressive)
TRIP-10787,1,2.04,0.404,84.4,0,Eco-Friendly (Safe)
TRIP-10788,3,0.79,0.136,61.9,2,High-Risk (Aggressive)
TRIP-10789,1,2.15,0.255,83.4,0,Eco-Friendly (Safe)
TRIP-10790,4,2.23,0.256,80.6,0,Eco-Friendly (Safe)
TRIP-10791,0,1.59,0.135,62.8,2,High-Risk (Aggressive)
TRIP-10792,1,0.91,0.121,38.9,2,High-Risk (Aggressive)
TRIP-10793,3,2.9,0.294,73.7,0,Eco-Friendly (Safe)
TRIP-10794,1,1.04,0.232,65.5,2,High-Risk (Aggressive)
TRIP-10795,0,1.02,0.133,56.5,2,High-Risk (Aggressive)
TRIP-10796,4,3.36,0.246,75.6,0,Eco-Friendly (Safe)
TRIP-10797,8,6.01,0.442,79.1,1,Standard Commuter
TRIP-10798,2,0.84,0.199,66.7,2,High-Risk (Aggressive)
TRIP-10799,0,0.8,0.186,55.9,2,High-Risk (Aggressive)
TRIP-10800,11,4.57,0.411,75.5,1,Standard Commuter
TRIP-10801,0,1.02,0.202,54.2,2,High-Risk (Aggressive)
TRIP-10802,3,2.28,0.219,80.1,0,Eco-Friendly (Safe)
TRIP-10803,3,2.99,0.313,73.2,0,Eco-Friendly (Safe)
TRIP-10804,3,2.94,0.367,62.4,0,Eco-Friendly (Safe)
TRIP-10805,1,0.83,0.174,57.0,2,High-Risk (Aggressive)
TRIP-10806,2,1.85,0.37,85.6,0,Eco-Friendly (Safe)
TRIP-10807,1,0.98,0.129,46.0,2,High-Risk (Aggressive)
TRIP-10808,4,4.1,0.507,106.5,1,Standard Commuter
TRIP-10809,3,2.44,0.387,111.6,0,Eco-Friendly (Safe)
TRIP-10810,3,2.23,0.361,71.0,0,Eco-Friendly (Safe)
TRIP-10811,2,1.24,0.242,48.3,2,High-Risk (Aggressive)
TRIP-10812,2,2.26,0.295,63.7,0,Eco-Friendly (Safe)
TRIP-10813,3,2.43,0.305,69.4,0,Eco-Friendly (Safe)
TRIP-10814,0,0.77,0.15,51.9,2,High-Risk (Aggressive)
TRIP-10815,1,1.03,0.167,64.6,2,High-Risk (Aggressive)
TRIP-10816,3,2.78,0.293,71.6,0,Eco-Friendly (Safe)
TRIP-10817,0,0.99,0.154,51.6,2,High-Risk (Aggressive)
TRIP-10818,2,2.62,0.361,56.1,0,Eco-Friendly (Safe)
TRIP-10819,0,1.17,0.141,46.2,2,High-Risk (Aggressive)
TRIP-10820,1,1.21,0.156,46.3,2,High-Risk (Aggressive)
TRIP-10821,3,2.9,0.215,68.5,0,Eco-Friendly (Safe)
TRIP-10822,4,2.76,0.421,71.7,0,Eco-Friendly (Safe)
TRIP-10823,5,5.05,0.836,101.1,1,Standard Commuter
TRIP-10824,5,1.71,0.333,89.9,0,Eco-Friendly (Safe)
TRIP-10825,14,4.66,0.505,82.7,1,Standard Commuter
TRIP-10826,3,2.37,0.261,76.4,0,Eco-Friendly (Safe)
TRIP-10827,1,2.85,0.378,92.3,0,Eco-Friendly (Safe)
TRIP-10828,4,2.14,0.353,40.8,0,Eco-Friendly (Safe)
TRIP-10829,3,2.68,0.368,65.0,0,Eco-Friendly (Safe)
TRIP-10830,5,1.38,0.277,84.4,0,Eco-Friendly (Safe)
TRIP-10831,2,1.05,0.197,43.6,2,High-Risk (Aggressive)
TRIP-10832,6,4.47,0.467,81.9,1,Standard Commuter
TRIP-10833,2,2.06,0.361,73.1,0,Eco-Friendly (Safe)
TRIP-10834,1,0.86,0.147,60.9,2,High-Risk (Aggressive)
TRIP-10835,9,5.84,0.64,109.3,1,Standard Commuter
TRIP-10836,2,2.63,0.371,50.1,0,Eco-Friendly (Safe)
TRIP-10837,5,4.83,0.747,64.8,1,Standard Commuter
TRIP-10838,2,2.32,0.386,77.1,0,Eco-Friendly (Safe)
TRIP-10839,4,2.36,0.381,61.8,0,Eco-Friendly (Safe)
TRIP-10840,1,1.01,0.181,52.4,2,High-Risk (Aggressive)
TRIP-10841,4,4.63,0.492,103.0,1,Standard Commuter
TRIP-10842,1,0.82,0.217,63.8,2,High-Risk (Aggressive)
TRIP-10843,2,0.74,0.154,56.8,2,High-Risk (Aggressive)
TRIP-10844,1,2.27,0.387,75.8,0,Eco-Friendly (Safe)
TRIP-10845,0,1.52,0.134,58.3,2,High-Risk (Aggressive)
TRIP-10846,3,1.86,0.401,63.6,0,Eco-Friendly (Safe)
TRIP-10847,1,0.68,0.12,43.1,2,High-Risk (Aggressive)
TRIP-10848,1,1.27,0.119,60.2,2,High-Risk (Aggressive)
TRIP-10849,0,1.44,0.148,50.3,2,High-Risk (Aggressive)
TRIP-10850,1,1.06,0.089,50.2,2,High-Risk (Aggressive)
TRIP-10851,1,0.78,0.095,60.4,2,High-Risk (Aggressive)
TRIP-10852,1,3.43,0.259,78.4,0,Eco-Friendly (Safe)
TRIP-10853,9,3.83,0.842,74.1,1,Standard Commuter
TRIP-10854,2,2.87,0.279,61.4,0,Eco-Friendly (Safe)
TRIP-10855,9,4.5,0.536,103.1,1,Standard Commuter
TRIP-10856,8,5.65,0.537,79.7,1,Standard Commuter
TRIP-10857,2,2.13,0.283,71.0,0,Eco-Friendly (Safe)
TRIP-10858,1,1.36,0.144,55.1,2,High-Risk (Aggressive)
TRIP-10859,1,2.47,0.317,51.9,0,Eco-Friendly (Safe)
TRIP-10860,0,3.01,0.286,61.8,0,Eco-Friendly (Safe)
TRIP-10861,0,3.0,0.351,64.5,0,Eco-Friendly (Safe)
TRIP-10862,1,2.93,0.406,66.5,0,Eco-Friendly (Safe)
TRIP-10863,2,2.52,0.317,83.1,0,Eco-Friendly (Safe)
TRIP-10864,3,3.03,0.298,66.4,0,Eco-Friendly (Safe)
TRIP-10865,6,5.75,0.758,89.3,1,Standard Commuter
TRIP-10866,2,2.67,0.309,69.2,0,Eco-Friendly (Safe)
TRIP-10867,2,0.71,0.188,59.2,2,High-Risk (Aggressive)
TRIP-10868,6,1.74,0.256,61.7,0,Eco-Friendly (Safe)
TRIP-10869,0,0.81,0.148,51.2,2,High-Risk (Aggressive)
TRIP-10870,4,5.9,0.745,85.1,1,Standard Commuter
TRIP-10871,2,1.14,0.13,52.8,2,High-Risk (Aggressive)
TRIP-10872,0,1.59,0.183,46.0,2,High-Risk (Aggressive)
TRIP-10873,1,1.01,0.206,62.4,2,High-Risk (Aggressive)
TRIP-10874,0,1.49,0.224,60.9,2,High-Risk (Aggressive)
TRIP-10875,1,2.32,0.321,62.9,0,Eco-Friendly (Safe)
TRIP-10876,1,1.04,0.18,53.2,2,High-Risk (Aggressive)
TRIP-10877,0,2.89,0.368,66.4,0,Eco-Friendly (Safe)
TRIP-10878,0,2.34,0.307,65.3,0,Eco-Friendly (Safe)
TRIP-10879,0,2.57,0.33,72.2,0,Eco-Friendly (Safe)
TRIP-10880,5,6.25,0.471,53.3,1,Standard Commuter
TRIP-10881,0,1.1,0.222,54.8,2,High-Risk (Aggressive)
TRIP-10882,2,0.9,0.179,44.6,2,High-Risk (Aggressive)
TRIP-10883,0,1.11,0.143,47.4,2,High-Risk (Aggressive)
TRIP-10884,2,2.69,0.308,60.4,0,Eco-Friendly (Safe)
TRIP-10885,4,1.82,0.257,59.7,0,Eco-Friendly (Safe)
TRIP-10886,1,1.34,0.184,61.1,2,High-Risk (Aggressive)
TRIP-10887,1,1.14,0.188,44.5,2,High-Risk (Aggressive)
TRIP-10888,5,4.36,0.47,78.3,1,Standard Commuter
TRIP-10889,8,5.78,0.512,107.5,1,Standard Commuter
TRIP-10890,6,3.14,0.345,91.9,1,Standard Commuter
TRIP-10891,6,4.74,0.641,106.3,1,Standard Commuter
TRIP-10892,0,2.04,0.291,64.3,0,Eco-Friendly (Safe)
TRIP-10893,1,2.36,0.311,75.7,0,Eco-Friendly (Safe)
TRIP-10894,1,0.87,0.211,51.3,2,High-Risk (Aggressive)
TRIP-10895,3,2.22,0.382,61.7,0,Eco-Friendly (Safe)
TRIP-10896,4,2.76,0.32,69.5,0,Eco-Friendly (Safe)
TRIP-10897,2,2.15,0.344,56.2,0,Eco-Friendly (Safe)
TRIP-10898,2,2.02,0.316,68.2,0,Eco-Friendly (Safe)
TRIP-10899,6,3.01,0.206,82.2,0,Eco-Friendly (Safe)
TRIP-10900,3,1.36,0.186,48.3,2,High-Risk (Aggressive)
TRIP-10901,0,1.37,0.19,53.4,2,High-Risk (Aggressive)
TRIP-10902,3,2.89,0.352,78.3,0,Eco-Friendly (Safe)
TRIP-10903,0,1.23,0.184,61.9,2,High-Risk (Aggressive)
TRIP-10904,3,1.92,0.35,57.4,0,Eco-Friendly (Safe)
TRIP-10905,0,0.22,0.173,59.2,2,High-Risk (Aggressive)
TRIP-10906,6,5.04,0.738,104.2,1,Standard Commuter
TRIP-10907,1,0.99,0.224,63.9,2,High-Risk (Aggressive)
TRIP-10908,3,5.7,0.664,89.3,1,Standard Commuter
TRIP-10909,9,5.37,0.547,105.5,1,Standard Commuter
TRIP-10910,9,6.6,0.5,94.2,1,Standard Commuter
TRIP-10911,2,3.2,0.295,72.1,0,Eco-Friendly (Safe)
TRIP-10912,6,4.25,0.56,100.1,1,Standard Commuter
TRIP-10913,1,1.16,0.278,65.6,2,High-Risk (Aggressive)
TRIP-10914,2,1.05,0.21,58.7,2,High-Risk (Aggressive)
TRIP-10915,1,0.91,0.215,35.2,2,High-Risk (Aggressive)
TRIP-10916,10,4.72,0.596,89.6,1,Standard Commuter
TRIP-10917,2,1.99,0.306,63.5,0,Eco-Friendly (Safe)
TRIP-10918,1,2.19,0.335,58.8,0,Eco-Friendly (Safe)
TRIP-10919,1,1.43,0.139,55.5,2,High-Risk (Aggressive)
TRIP-10920,2,2.06,0.418,80.0,0,Eco-Friendly (Safe)
TRIP-10921,3,2.37,0.345,67.2,0,Eco-Friendly (Safe)
TRIP-10922,0,1.37,0.151,39.6,2,High-Risk (Aggressive)
TRIP-10923,0,1.45,0.167,59.7,2,High-Risk (Aggressive)
TRIP-10924,0,0.94,0.223,45.0,2,High-Risk (Aggressive)
TRIP-10925,7,4.07,0.767,76.8,1,Standard Commuter
TRIP-10926,3,3.43,0.296,70.4,0,Eco-Friendly (Safe)
TRIP-10927,1,1.25,0.145,68.4,2,High-Risk (Aggressive)
TRIP-10928,0,1.16,0.219,51.8,2,High-Risk (Aggressive)
TRIP-10929,1,1.56,0.244,58.5,2,High-Risk (Aggressive)
TRIP-10930,0,2.18,0.364,70.4,0,Eco-Friendly (Safe)
TRIP-10931,1,1.07,0.182,55.4,2,High-Risk (Aggressive)
TRIP-10932,1,0.96,0.152,52.4,2,High-Risk (Aggressive)
TRIP-10933,1,2.34,0.271,61.7,0,Eco-Friendly (Safe)
TRIP-10934,1,1.67,0.219,65.6,2,High-Risk (Aggressive)
TRIP-10935,0,1.75,0.324,70.3,0,Eco-Friendly (Safe)
TRIP-10936,1,1.14,0.131,60.2,2,High-Risk (Aggressive)
TRIP-10937,1,1.45,0.194,59.0,2,High-Risk (Aggressive)
TRIP-10938,7,5.26,0.687,112.3,1,Standard Commuter
TRIP-10939,2,2.57,0.372,67.3,0,Eco-Friendly (Safe)
TRIP-10940,1,1.26,0.227,54.6,2,High-Risk (Aggressive)
TRIP-10941,2,0.76,0.194,53.2,2,High-Risk (Aggressive)
TRIP-10942,13,3.98,0.707,94.0,1,Standard Commuter
TRIP-10943,0,0.82,0.201,64.1,2,High-Risk (Aggressive)
TRIP-10944,2,1.92,0.247,66.5,0,Eco-Friendly (Safe)
TRIP-10945,1,1.98,0.241,73.8,0,Eco-Friendly (Safe)
TRIP-10946,8,4.59,0.42,82.2,1,Standard Commuter
TRIP-10947,0,1.2,0.156,49.7,2,High-Risk (Aggressive)
TRIP-10948,1,2.43,0.291,61.7,0,Eco-Friendly (Safe)
TRIP-10949,1,2.03,0.264,61.2,2,High-Risk (Aggressive)
TRIP-10950,1,2.37,0.354,70.6,0,Eco-Friendly (Safe)
TRIP-10951,4,2.7,0.276,82.2,0,Eco-Friendly (Safe)
TRIP-10952,0,1.19,0.213,45.8,2,High-Risk (Aggressive)
TRIP-10953,0,1.3,0.158,43.0,2,High-Risk (Aggressive)
TRIP-10954,0,1.34,0.17,46.9,2,High-Risk (Aggressive)
TRIP-10955,7,3.1,0.196,66.8,0,Eco-Friendly (Safe)
TRIP-10956,1,1.02,0.254,56.3,2,High-Risk (Aggressive)
TRIP-10957,5,5.12,0.566,70.4,1,Standard Commuter
TRIP-10958,7,6.02,0.535,87.2,1,Standard Commuter
TRIP-10959,1,1.29,0.229,52.6,2,High-Risk (Aggressive)
TRIP-10960,1,1.04,0.262,57.2,2,High-Risk (Aggressive)
TRIP-10961,6,2.12,0.367,70.2,0,Eco-Friendly (Safe)
TRIP-10962,2,1.16,0.134,51.8,2,High-Risk (Aggressive)
TRIP-10963,0,2.77,0.274,81.1,0,Eco-Friendly (Safe)
TRIP-10964,1,2.27,0.293,73.1,0,Eco-Friendly (Safe)
TRIP-10965,1,1.51,0.151,56.3,2,High-Risk (Aggressive)
TRIP-10966,2,3.13,0.304,74.5,0,Eco-Friendly (Safe)
TRIP-10967,4,2.81,0.322,78.6,0,Eco-Friendly (Safe)
TRIP-10968,3,2.1,0.36,77.7,0,Eco-Friendly (Safe)
TRIP-10969,6,1.82,0.288,60.8,0,Eco-Friendly (Safe)
TRIP-10970,2,0.95,0.193,55.9,2,High-Risk (Aggressive)
TRIP-10971,0,2.22,0.364,72.4,0,Eco-Friendly (Safe)
TRIP-10972,9,5.47,0.678,75.1,1,Standard Commuter
TRIP-10973,3,2.72,0.393,77.1,0,Eco-Friendly (Safe)
TRIP-10974,4,4.12,0.573,80.8,1,Standard Commuter
TRIP-10975,0,0.75,0.193,58.8,2,High-Risk (Aggressive)
TRIP-10976,4,3.96,0.418,77.9,0,Eco-Friendly (Safe)
TRIP-10977,1,2.37,0.349,89.8,0,Eco-Friendly (Safe)
TRIP-10978,3,2.43,0.315,70.6,0,Eco-Friendly (Safe)
TRIP-10979,1,1.46,0.203,51.4,2,High-Risk (Aggressive)
TRIP-10980,8,3.01,0.512,89.3,1,Standard Commuter
TRIP-10981,6,6.02,0.684,80.6,1,Standard Commuter
TRIP-10982,7,3.91,0.618,86.3,1,Standard Commuter
TRIP-10983,4,2.07,0.379,80.0,0,Eco-Friendly (Safe)
TRIP-10984,0,1.95,0.33,67.0,0,Eco-Friendly (Safe)
TRIP-10985,6,2.23,0.2,63.9,0,Eco-Friendly (Safe)
TRIP-10986,3,3.23,0.377,65.6,0,Eco-Friendly (Safe)
TRIP-10987,1,2.62,0.321,68.4,0,Eco-Friendly (Safe)
TRIP-10988,12,4.26,0.84,88.5,1,Standard Commuter
TRIP-10989,1,2.22,0.309,79.6,0,Eco-Friendly (Safe)
TRIP-10990,5,5.38,0.637,88.1,1,Standard Commuter
TRIP-10991,3,6.16,0.772,93.7,1,Standard Commuter
TRIP-10992,0,1.07,0.189,48.5,2,High-Risk (Aggressive)
TRIP-10993,0,1.46,0.159,56.3,2,High-Risk (Aggressive)
TRIP-10994,3,5.82,0.781,135.4,1,Standard Commuter
TRIP-10995,0,3.01,0.312,76.6,0,Eco-Friendly (Safe)
TRIP-10996,0,0.46,0.202,70.5,2,High-Risk (Aggressive)
TRIP-10997,4,1.84,0.304,57.4,0,Eco-Friendly (Safe)
TRIP-10998,5,2.03,0.25,72.1,0,Eco-Friendly (Safe)
TRIP-10999,2,2.59,0.389,77.2,0,Eco-Friendly (Safe)
TRIP-11000,9,4.92,0.686,102.8,1,Standard Commuter
TRIP-11001,1,0.79,0.261,62.8,2,High-Risk (Aggressive)
TRIP-11002,1,1.54,0.219,58.2,2,High-Risk (Aggressive)
TRIP-11003,4,2.38,0.277,79.4,0,Eco-Friendly (Safe)
TRIP-11004,3,2.37,0.696,82.5,1,Standard Commuter
TRIP-11005,0,1.45,0.21,48.9,2,High-Risk (Aggressive)
TRIP-11006,0,2.55,0.296,73.7,0,Eco-Friendly (Safe)
TRIP-11007,0,0.9,0.216,49.7,2,High-Risk (Aggressive)
TRIP-11008,2,2.27,0.184,62.1,2,High-Risk (Aggressive)
TRIP-11009,4,3.09,0.377,57.0,0,Eco-Friendly (Safe)
TRIP-11010,0,1.29,0.203,43.7,2,High-Risk (Aggressive)
TRIP-11011,0,0.96,0.221,70.5,2,High-Risk (Aggressive)
TRIP-11012,3,2.22,0.277,72.3,0,Eco-Friendly (Safe)
TRIP-11013,3,2.32,0.378,75.6,0,Eco-Friendly (Safe)
TRIP-11014,9,4.61,0.731,68.5,1,Standard Commuter
TRIP-11015,4,6.58,0.36,94.1,1,Standard Commuter
TRIP-11016,0,0.71,0.222,47.6,2,High-Risk (Aggressive)
TRIP-11017,1,0.93,0.187,54.0,2,High-Risk (Aggressive)
TRIP-11018,1,1.11,0.103,70.3,2,High-Risk (Aggressive)
TRIP-11019,0,2.72,0.342,68.8,0,Eco-Friendly (Safe)
TRIP-11020,0,0.83,0.16,73.4,2,High-Risk (Aggressive)
TRIP-11021,3,6.22,0.404,82.1,1,Standard Commuter
TRIP-11022,6,2.8,0.417,79.2,0,Eco-Friendly (Safe)
TRIP-11023,4,2.12,0.274,77.5,0,Eco-Friendly (Safe)
TRIP-11024,6,2.16,0.305,67.1,0,Eco-Friendly (Safe)
TRIP-11025,1,3.31,0.332,83.6,0,Eco-Friendly (Safe)
TRIP-11026,0,2.23,0.261,69.3,0,Eco-Friendly (Safe)
TRIP-11027,1,1.11,0.234,48.6,2,High-Risk (Aggressive)
TRIP-11028,5,2.61,0.196,50.5,0,Eco-Friendly (Safe)
TRIP-11029,0,2.72,0.263,60.9,0,Eco-Friendly (Safe)
TRIP-11030,1,1.13,0.208,66.4,2,High-Risk (Aggressive)
TRIP-11031,3,2.65,0.336,66.9,0,Eco-Friendly (Safe)
TRIP-11032,2,3.18,0.337,51.3,0,Eco-Friendly (Safe)
TRIP-11033,0,0.93,0.145,57.7,2,High-Risk (Aggressive)
TRIP-11034,2,2.39,0.314,72.9,0,Eco-Friendly (Safe)
TRIP-11035,4,2.79,0.382,72.4,0,Eco-Friendly (Safe)
TRIP-11036,9,4.83,0.644,100.0,1,Standard Commuter
TRIP-11037,2,3.07,0.35,94.0,0,Eco-Friendly (Safe)
TRIP-11038,0,1.05,0.175,47.6,2,High-Risk (Aggressive)
TRIP-11039,0,0.97,0.166,49.4,2,High-Risk (Aggressive)
TRIP-11040,1,2.78,0.358,58.0,0,Eco-Friendly (Safe)
TRIP-11041,2,2.4,0.393,65.1,0,Eco-Friendly (Safe)
TRIP-11042,1,1.15,0.193,68.6,2,High-Risk (Aggressive)
TRIP-11043,0,2.79,0.373,67.7,0,Eco-Friendly (Safe)
TRIP-11044,0,1.14,0.233,62.3,2,High-Risk (Aggressive)
TRIP-11045,3,2.29,0.353,95.4,0,Eco-Friendly (Safe)
TRIP-11046,3,2.68,0.264,68.7,0,Eco-Friendly (Safe)
TRIP-11047,3,2.32,0.317,73.4,0,Eco-Friendly (Safe)
TRIP-11048,3,4.93,0.461,101.5,1,Standard Commuter
TRIP-11049,3,1.07,0.241,55.6,2,High-Risk (Aggressive)
TRIP-11050,2,1.32,0.175,47.3,2,High-Risk (Aggressive)
TRIP-11051,9,4.52,0.677,95.1,1,Standard Commuter
TRIP-11052,2,1.81,0.297,58.7,0,Eco-Friendly (Safe)
TRIP-11053,2,3.01,0.348,66.7,0,Eco-Friendly (Safe)
TRIP-11054,1,2.89,0.16,71.9,0,Eco-Friendly (Safe)
TRIP-11055,2,0.51,0.26,63.1,2,High-Risk (Aggressive)
TRIP-11056,3,1.16,0.212,73.8,0,Eco-Friendly (Safe)
TRIP-11057,7,4.52,0.461,87.9,1,Standard Commuter
TRIP-11058,1,2.13,0.287,66.0,0,Eco-Friendly (Safe)
TRIP-11059,2,2.63,0.349,60.9,0,Eco-Friendly (Safe)
TRIP-11060,0,1.3,0.227,59.4,2,High-Risk (Aggressive)
TRIP-11061,0,1.19,0.283,67.6,2,High-Risk (Aggressive)
TRIP-11062,3,3.11,0.424,73.9,0,Eco-Friendly (Safe)
TRIP-11063,8,4.77,0.791,103.7,1,Standard Commuter
TRIP-11064,0,1.54,0.185,42.8,2,High-Risk (Aggressive)
TRIP-11065,4,2.3,0.382,62.6,0,Eco-Friendly (Safe)
TRIP-11066,6,2.78,0.226,61.2,0,Eco-Friendly (Safe)
TRIP-11067,0,1.27,0.104,50.6,2,High-Risk (Aggressive)
TRIP-11068,1,0.6,0.184,52.8,2,High-Risk (Aggressive)
TRIP-11069,0,0.75,0.175,55.7,2,High-Risk (Aggressive)
TRIP-11070,6,4.9,0.719,86.3,1,Standard Commuter
TRIP-11071,2,1.19,0.198,45.5,2,High-Risk (Aggressive)
TRIP-11072,7,5.58,0.451,90.2,1,Standard Commuter
TRIP-11073,1,1.29,0.188,55.4,2,High-Risk (Aggressive)
TRIP-11074,0,1.1,0.184,60.5,2,High-Risk (Aggressive)
TRIP-11075,1,2.07,0.407,70.2,0,Eco-Friendly (Safe)
TRIP-11076,0,1.45,0.145,56.8,2,High-Risk (Aggressive)
TRIP-11077,6,3.33,0.418,70.7,0,Eco-Friendly (Safe)
TRIP-11078,1,1.9,0.344,67.7,0,Eco-Friendly (Safe)
TRIP-11079,0,1.19,0.185,49.6,2,High-Risk (Aggressive)
TRIP-11080,1,1.86,0.273,75.8,0,Eco-Friendly (Safe)
TRIP-11081,4,2.83,0.66,83.0,1,Standard Commuter
TRIP-11082,0,0.75,0.187,51.7,2,High-Risk (Aggressive)
TRIP-11083,5,3.47,0.655,60.1,1,Standard Commuter
TRIP-11084,0,0.81,0.226,69.5,2,High-Risk (Aggressive)
TRIP-11085,2,2.53,0.307,57.9,0,Eco-Friendly (Safe)
TRIP-11086,11,4.97,0.529,95.6,1,Standard Commuter
TRIP-11087,0,0.99,0.168,62.8,2,High-Risk (Aggressive)
TRIP-11088,15,3.29,0.564,76.2,1,Standard Commuter
TRIP-11089,1,0.24,0.138,56.7,2,High-Risk (Aggressive)
TRIP-11090,0,0.72,0.15,63.2,2,High-Risk (Aggressive)
TRIP-11091,1,2.82,0.325,73.7,0,Eco-Friendly (Safe)
TRIP-11092,3,2.92,0.438,73.3,0,Eco-Friendly (Safe)
TRIP-11093,1,1.02,0.217,48.9,2,High-Risk (Aggressive)
TRIP-11094,0,0.77,0.13,46.5,2,High-Risk (Aggressive)
TRIP-11095,8,4.12,0.523,88.2,1,Standard Commuter
TRIP-11096,2,1.83,0.166,47.4,2,High-Risk (Aggressive)
TRIP-11097,5,2.49,0.401,78.9,0,Eco-Friendly (Safe)
TRIP-11098,2,0.91,0.206,67.2,2,High-Risk (Aggressive)
TRIP-11099,6,4.23,0.721,98.1,1,Standard Commuter
TRIP-11100,5,3.19,0.344,77.6,0,Eco-Friendly (Safe)
TRIP-11101,8,5.72,0.629,99.9,1,Standard Commuter
TRIP-11102,1,2.51,0.443,77.2,0,Eco-Friendly (Safe)
TRIP-11103,2,1.18,0.222,46.8,2,High-Risk (Aggressive)
TRIP-11104,0,1.44,0.141,56.4,2,High-Risk (Aggressive)
TRIP-11105,4,2.84,0.311,76.0,0,Eco-Friendly (Safe)
TRIP-11106,6,5.28,0.485,59.5,1,Standard Commuter
TRIP-11107,3,2.7,0.373,85.6,0,Eco-Friendly (Safe)
TRIP-11108,8,4.44,0.385,91.8,1,Standard Commuter
TRIP-11109,0,0.93,0.146,58.6,2,High-Risk (Aggressive)
TRIP-11110,6,4.64,0.65,78.8,1,Standard Commuter
TRIP-11111,0,0.92,0.153,50.3,2,High-Risk (Aggressive)
TRIP-11112,5,4.83,0.519,122.0,1,Standard Commuter
TRIP-11113,6,5.74,0.648,54.6,1,Standard Commuter
TRIP-11114,4,1.92,0.271,66.2,0,Eco-Friendly (Safe)
TRIP-11115,5,5.61,0.525,120.4,1,Standard Commuter
TRIP-11116,3,3.68,0.362,70.9,0,Eco-Friendly (Safe)
TRIP-11117,0,0.84,0.184,60.9,2,High-Risk (Aggressive)
TRIP-11118,2,1.46,0.185,62.8,2,High-Risk (Aggressive)
TRIP-11119,3,4.3,0.549,87.0,1,Standard Commuter
TRIP-11120,3,2.23,0.298,79.9,0,Eco-Friendly (Safe)
TRIP-11121,0,0.81,0.156,49.8,2,High-Risk (Aggressive)
TRIP-11122,2,2.61,0.227,64.3,0,Eco-Friendly (Safe)
TRIP-11123,0,0.71,0.139,61.3,2,High-Risk (Aggressive)
TRIP-11124,3,2.21,0.383,62.0,0,Eco-Friendly (Safe)
TRIP-11125,2,1.03,0.222,46.8,2,High-Risk (Aggressive)
TRIP-11126,3,1.79,0.349,71.5,0,Eco-Friendly (Safe)
TRIP-11127,1,0.96,0.166,44.3,2,High-Risk (Aggressive)
TRIP-11128,6,5.34,0.417,53.9,1,Standard Commuter
TRIP-11129,4,2.88,0.457,56.7,0,Eco-Friendly (Safe)
TRIP-11130,3,1.94,0.301,58.5,0,Eco-Friendly (Safe)
TRIP-11131,1,2.81,0.348,63.6,0,Eco-Friendly (Safe)
TRIP-11132,1,0.51,0.172,49.9,2,High-Risk (Aggressive)
TRIP-11133,10,4.8,0.501,116.1,1,Standard Commuter
TRIP-11134,2,2.72,0.382,85.3,0,Eco-Friendly (Safe)
TRIP-11135,2,2.5,0.333,60.6,0,Eco-Friendly (Safe)
TRIP-11136,5,2.06,0.29,76.4,0,Eco-Friendly (Safe)
TRIP-11137,9,1.2,0.648,105.6,1,Standard Commuter
TRIP-11138,12,5.56,0.568,84.9,1,Standard Commuter
TRIP-11139,11,3.52,0.477,77.4,1,Standard Commuter
TRIP-11140,2,1.91,0.236,64.9,0,Eco-Friendly (Safe)
TRIP-11141,1,2.71,0.386,82.4,0,Eco-Friendly (Safe)
TRIP-11142,2,2.42,0.405,76.0,0,Eco-Friendly (Safe)
TRIP-11143,0,1.44,0.246,65.6,2,High-Risk (Aggressive)
TRIP-11144,1,2.19,0.332,61.2,0,Eco-Friendly (Safe)
